Source,Target,Type,Label,timeset,Weight,Source_modularity_class,Target_modularity_class,Same_modularity_class
46926100,19795899,Undirected,,,101,17,20,0
71010590,68607435,Undirected,,,120,22,46,0
71010590,73251065,Undirected,,,102,22,46,0
71010590,70103702,Undirected,,,118,22,46,0
71010590,72491568,Undirected,,,112,22,46,0
71010590,64037176,Undirected,,,116,22,46,0
71010590,49827867,Undirected,,,106,22,46,0
71010590,53548948,Undirected,,,100,22,46,0
71010590,40026717,Undirected,,,124,22,46,0
71010590,16792863,Undirected,,,112,22,46,0
71010590,75428432,Undirected,,,117,22,46,0
71010590,67554707,Undirected,,,116,22,46,0
71010590,40064013,Undirected,,,117,22,46,0
71010590,19156052,Undirected,,,105,22,46,0
71010590,42837891,Undirected,,,113,22,46,0
71010590,563135,Undirected,,,104,22,46,0
71010590,72696140,Undirected,,,111,22,46,0
71010590,77161837,Undirected,,,118,22,46,0
71010590,2202537,Undirected,,,104,22,46,0
71010590,3068868,Undirected,,,108,22,46,0
71010590,26839341,Undirected,,,116,22,46,0
71010590,9565520,Undirected,,,119,22,46,0
71010590,17404332,Undirected,,,105,22,46,0
71010590,66461863,Undirected,,,112,22,46,0
71010590,23179864,Undirected,,,113,22,46,0
71010590,25708376,Undirected,,,110,22,46,0
71010590,17166417,Undirected,,,108,22,46,0
71010590,29433134,Undirected,,,112,22,46,0
71010590,30610586,Undirected,,,110,22,46,0
71010590,62438012,Undirected,,,118,22,46,0
71010590,76086153,Undirected,,,111,22,46,0
71010590,2451510,Undirected,,,102,22,46,0
71010590,31184263,Undirected,,,118,22,46,0
60787115,4478628,Undirected,,,101,32,22,0
76843498,28723206,Undirected,,,100,7,20,0
68192787,43445497,Undirected,,,101,30,21,0
45124198,10162858,Undirected,,,105,23,51,0
330495,18922383,Undirected,,,114,24,45,0
330495,4814163,Undirected,,,113,24,45,0
39750425,51802184,Undirected,,,101,47,22,0
60787552,35268798,Undirected,,,100,37,23,0
41356129,28723206,Undirected,,,100,7,20,0
24578927,4478628,Undirected,,,103,32,22,0
39259002,10162858,Undirected,,,104,23,51,0
46041997,61878542,Undirected,,,120,28,31,0
47877136,23509280,Undirected,,,100,41,30,0
47877136,13425878,Undirected,,,191,41,30,0
47877136,37205933,Undirected,,,101,41,30,0
47877136,45011305,Undirected,,,104,41,30,0
47877136,4200613,Undirected,,,107,41,30,0
47877136,38926454,Undirected,,,167,41,30,0
74550318,17900921,Undirected,,,102,38,21,0
1051708,42380840,Undirected,,,111,48,20,0
3050589,61471215,Undirected,,,100,51,47,0
3050589,6567254,Undirected,,,100,51,48,0
76385393,2581592,Undirected,,,102,49,45,0
6425781,28723206,Undirected,,,102,7,20,0
19139776,54322252,Undirected,,,100,45,28,0
19139776,25938456,Undirected,,,103,45,28,0
19139776,27094990,Undirected,,,100,45,28,0
19139776,67779454,Undirected,,,101,45,28,0
19139776,48304361,Undirected,,,100,45,28,0
19139776,23485813,Undirected,,,105,45,28,0
23989448,70967128,Undirected,,,101,31,45,0
23989448,51901047,Undirected,,,101,31,45,0
35818746,49823379,Undirected,,,103,34,20,0
3804427,13953375,Undirected,,,100,7,5,0
3804427,31199194,Undirected,,,100,7,5,0
3804427,35187912,Undirected,,,102,7,5,0
13012326,2581592,Undirected,,,108,49,45,0
5246353,70080153,Undirected,,,103,41,11,0
40996320,2581592,Undirected,,,104,49,45,0
18714085,58260222,Undirected,,,100,41,43,0
18714085,51653555,Undirected,,,150,41,47,0
63114757,17900921,Undirected,,,101,38,21,0
71110235,58260222,Undirected,,,104,41,43,0
72060523,9187304,Undirected,,,100,30,41,0
46993032,17900921,Undirected,,,102,38,21,0
43847395,70080153,Undirected,,,101,41,11,0
986892,8148703,Undirected,,,100,20,39,0
58593081,2581592,Undirected,,,101,49,45,0
68751172,27922497,Undirected,,,101,7,51,0
53382999,4478628,Undirected,,,100,32,22,0
19795899,38412171,Undirected,,,100,20,17,0
19795899,57650263,Undirected,,,102,20,17,0
